alpha,beta,LCE
0.3,0.1,0.013730141383074362
0.7,0.3,0.014327022030363467
0.3,0.0,0.014271728198943304
0.1,0.3,0.013572608173165534
0.5,0.3,0.013994489264973679
0.1,0.1,0.01330551728355067
0.5,0.1,0.013870978024279845
0.9,0.1,0.013324761705270433
0.7,0.1,0.013969390202280014
0.7,0.05,0.01423451870297585
0.1,0.05,0.013670781828755656
0.5,0.05,0.014035287439019578
0.7,0.0,0.013663853836936541
0.9,0.3,0.012646935225553296
0.9,0.05,0.013027161631024914
0.9,0.0,0.01285236807217081
0.3,0.3,0.013956423256715597
0.1,0.0,0.014281247411489754
0.3,0.05,0.013904728945301606
0.5,0.0,0.014152163419942985
