type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,HybridSVDs(cs),0.014284648664776965,0.014284648664776967,0.006393337814134195,383,26429,,26429
1,3,HybridSVDs(cs),0.04546471729076533,0.02739445024615843,0.012568099976503117,1219,79217,,25593
1,10,HybridSVDs(cs),0.12527972549604655,0.04039319044540587,0.03339289519843937,3359,264761,,23453
1,20,HybridSVDs(cs),0.20009697150529612,0.045512021669295695,0.06266563936110336,5365,530875,,21447
1,30,HybridSVDs(cs),0.25093241832015517,0.04754541215634268,0.08962694600634963,6728,797632,,20084
2,1,HybridSVDs(cs),0.013277636879009399,0.013277636879009399,0.00634962268378114,356,26456,,26456
2,3,HybridSVDs(cs),0.04378636431448605,0.026095280720075584,0.012863177106386235,1174,79262,,25638
2,10,HybridSVDs(cs),0.12673429807548858,0.03963285510633713,0.03343114593749829,3398,264722,,23414
2,20,HybridSVDs(cs),0.20151424735193196,0.044735089910598755,0.06266563936110336,5403,530837,,21409
2,30,HybridSVDs(cs),0.25324481575413993,0.0468160917916426,0.08944115670234914,6790,797570,,20022
3,1,HybridSVDs(cs),0.012606765879676253,0.012606765879676253,0.006234870466604372,338,26473,,26473
3,3,HybridSVDs(cs),0.04285554436611838,0.025207315405368445,0.012600886324267908,1149,79284,,25662
3,10,HybridSVDs(cs),0.12450113759277909,0.038574918610165335,0.03354589815467506,3338,264772,,23473
3,20,HybridSVDs(cs),0.19928387602103614,0.04368531426271087,0.062496243230985286,5343,530877,,21468
3,30,HybridSVDs(cs),0.2509044795046809,0.04576447572402248,0.08938104839811369,6727,797603,,20084
4,1,HybridSVDs(cs),0.01297926301655975,0.012979263016559748,0.006300443162133954,348,26464,,26464
4,3,HybridSVDs(cs),0.04147396688050127,0.02486448853747078,0.012726567324032939,1112,79324,,25700
4,10,HybridSVDs(cs),0.12654781441145754,0.03876166558920549,0.033567755719851586,3393,264727,,23419
4,20,HybridSVDs(cs),0.2023720722064747,0.043969188020473164,0.06276946279569187,5426,530814,,21386
4,30,HybridSVDs(cs),0.25566910338654336,0.04612046344704031,0.08972530504964399,6855,797505,,19957
5,1,HybridSVDs(cs),0.012718185886916306,0.012718185886916306,0.006294978770839822,341,26471,,26471
5,3,HybridSVDs(cs),0.04195882440698195,0.02501367546869561,0.012589957541679644,1125,79311,,25687
5,10,HybridSVDs(cs),0.12490675816798448,0.03862482210050463,0.03345846789396895,3349,264771,,23463
5,20,HybridSVDs(cs),0.19976130091004027,0.04375685813060904,0.0626711037523975,5356,530884,,21456
5,30,HybridSVDs(cs),0.2514172758466358,0.04581520190482451,0.08949580061529046,6741,797619,,20071
