features_weight,rank,HybridSVDs(cs)
0.1,3000,0.03651844471440174
0.1,2500,0.03731637279209262
0.1,2000,0.038365417403721146
0.1,1500,0.03877571106517101
0.1,1250,0.03833214635001148
0.1,1000,0.03817621048618363
0.1,750,0.037151704756695055
0.1,500,0.03594438583529289
0.1,400,0.03491009711358809
0.1,300,0.033789818702357866
0.1,250,0.0326213357440047
0.1,200,0.03087287379022423
0.1,150,0.028773260137015172
0.1,100,0.02615292785272645
0.1,75,0.024049495724491995
0.1,50,0.021322379342109312
0.1,30,0.019698062227526646
0.1,15,0.013706297701337236
0.1,1,0.003676510636080977
0.3,3000,0.03794568115674336
0.3,2500,0.038611294634716985
0.3,2000,0.03971320588506923
0.3,1500,0.0399528225930583
0.3,1250,0.03936459983565757
0.3,1000,0.03857128944869509
0.3,750,0.03720360937651703
0.3,500,0.03636120642498383
0.3,400,0.035344115641184115
0.3,300,0.033521400628479546
0.3,250,0.03236016981261648
0.3,200,0.030409328682489953
0.3,150,0.02851540947076528
0.3,100,0.026157071934149363
0.3,75,0.02374089486110223
0.3,50,0.02195466256521008
0.3,30,0.017928939067794802
0.3,15,0.013383503359073998
0.3,1,0.003673846583737677
0.5,3000,0.03791362372687899
0.5,2500,0.03912487952563292
0.5,2000,0.04000142674803274
0.5,1500,0.040128087636665886
0.5,1250,0.03937321360490091
0.5,1000,0.03863034260897158
0.5,750,0.037327458209898905
0.5,500,0.03648786731361698
0.5,400,0.03534242840803336
0.5,300,0.03355208163129989
0.5,250,0.032284436724612765
0.5,200,0.030270561155985594
0.5,150,0.028565227249584997
0.5,100,0.02598000125506466
0.5,75,0.023702591708521886
0.5,50,0.021793546599603586
0.5,30,0.017600121007177547
0.5,15,0.013242323385169872
0.5,1,0.003673846583737677
0.7,3000,0.03810330425372198
0.7,2500,0.03944224216117398
0.7,2000,0.04017692859629306
0.7,1500,0.040228892417278214
0.7,1250,0.03928393825081875
0.7,1000,0.038964666377764995
0.7,750,0.03778289275827691
0.7,500,0.036337999569015525
0.7,400,0.035183221679939564
0.7,300,0.03346202186180554
0.7,250,0.03219381454406816
0.7,200,0.030111798436615683
0.7,150,0.02855174418466974
0.7,100,0.026016291568096726
0.7,75,0.023664495760012692
0.7,50,0.021727330098581774
0.7,30,0.0174955865532846
0.7,15,0.013253719609082878
0.7,1,0.003673846583737677
0.9,3000,0.03814097099379808
0.9,2500,0.03937531524619396
0.9,2000,0.04039319044540587
0.9,1500,0.040379840583107784
0.9,1250,0.03942316458633779
0.9,1000,0.0389094020919323
0.9,750,0.03781907946927341
0.9,500,0.03627071744705639
0.9,400,0.03510688178001321
0.9,300,0.03355578170399892
0.9,250,0.03206727205776139
0.9,200,0.030099070186531022
0.9,150,0.02849436345725321
0.9,100,0.025951717899353285
0.9,75,0.023733243110760638
0.9,50,0.0216228992467244
0.9,30,0.01747513255140437
0.9,15,0.013224829441448866
0.9,1,0.003673846583737677
