type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,HybridSVDs,0.025463785142482445,0.025463785142482445,0.07052118843195906,932,35669,,35669
1,3,HybridSVDs,0.0560640419660665,0.038564520095079366,0.14653249688569958,2052,107751,,34549
1,10,HybridSVDs,0.11242862216879321,0.048002895228380874,0.30028569510439435,4115,361895,,32486
1,20,HybridSVDs,0.1621267178492391,0.051396088470539905,0.43127279779798444,5934,726086,,30667
1,30,HybridSVDs,0.19849184448512336,0.05285192565445319,0.5202560066836244,7265,1090765,,29336
2,1,HybridSVDs,0.025191256830601094,0.02519125683060109,0.07024519055042928,922,35678,,35678
2,3,HybridSVDs,0.05508196721311476,0.03782331511839708,0.14598796052484353,2016,107784,,34584
2,10,HybridSVDs,0.11193989071038252,0.04727080622777345,0.3013598490216994,4097,361903,,32503
2,20,HybridSVDs,0.16185792349726777,0.050686787180991746,0.42975107974846893,5924,726076,,30676
2,30,HybridSVDs,0.19691256830601092,0.05208492251184371,0.5167575470501794,7207,1090793,,29393
3,1,HybridSVDs,0.023988415617059642,0.023988415617059645,0.07032724397466787,878,35723,,35723
3,3,HybridSVDs,0.0556268954400153,0.037467100170304996,0.14648774047247853,2036,107767,,34565
3,10,HybridSVDs,0.11270183874757521,0.04697089549552597,0.30212070804645713,4125,361885,,32476
3,20,HybridSVDs,0.16264582934892488,0.050395861444666935,0.43224997948664395,5953,726067,,30648
3,30,HybridSVDs,0.19969399743176416,0.05187676831579282,0.5186074787966493,7309,1090721,,29292
4,1,HybridSVDs,0.02489071038251366,0.024890710382513663,0.069946814462289,911,35689,,35689
4,3,HybridSVDs,0.05663934426229508,0.03830601092896175,0.1455702340014471,2073,107727,,34527
4,10,HybridSVDs,0.11385245901639345,0.04792194682973371,0.29835370993368593,4167,361833,,32433
4,20,HybridSVDs,0.1642622950819672,0.051381846762553376,0.4273864492499571,6012,725988,,30588
4,30,HybridSVDs,0.200327868852459,0.05283491935857418,0.5155267456866007,7332,1090668,,29268
5,1,HybridSVDs,0.026010218300046448,0.026010218300046448,0.07062562006280816,952,35649,,35649
5,3,HybridSVDs,0.0565831534657523,0.039033541888655134,0.14753205678096956,2071,107732,,34530
5,10,HybridSVDs,0.1127291604054534,0.04842272719584814,0.3039482615863165,4126,361884,,32475
5,20,HybridSVDs,0.1630010109013415,0.05186659544296493,0.4328914880761456,5966,726054,,30635
5,30,HybridSVDs,0.20127865358869976,0.05340278920930376,0.5202933036946419,7367,1090663,,29234
