features_weight,rank,HybridSVDs
0.1,3000,0.048002895228380874
0.1,2500,0.04575573223560983
0.1,2000,0.04251935175680428
0.1,1500,0.0388942664850427
0.1,1250,0.03623170587324572
0.1,1000,0.033273323263350855
0.1,750,0.030131592813623362
0.1,500,0.025639381003988524
0.1,400,0.02347038831014679
0.1,300,0.020990210606614528
0.1,250,0.019718246487323836
0.1,200,0.017868158255715975
0.1,150,0.014815841183973201
0.1,100,0.013047295090818492
0.1,75,0.011287476749485985
0.1,50,0.010227483159233658
0.1,30,0.007761204807050549
0.1,15,0.006461019149880109
0.1,1,0.0011636641032012744
0.3,3000,0.044666508808198925
0.3,2500,0.041996467266268635
0.3,2000,0.038189194240941464
0.3,1500,0.03434974237411329
0.3,1250,0.03185143696741741
0.3,1000,0.028849870959376165
0.3,750,0.025273433417336587
0.3,500,0.021478812921669675
0.3,400,0.01913907070801691
0.3,300,0.01730046407787453
0.3,250,0.01647788702104158
0.3,200,0.014817088005662088
0.3,150,0.012673573841984542
0.3,100,0.010906632354133788
0.3,75,0.010394817471809904
0.3,50,0.008877272847519562
0.3,30,0.006887486377117807
0.3,15,0.006066730764143403
0.3,1,0.0011679575065821344
0.5,3000,0.04260461267646864
0.5,2500,0.03978663303067008
0.5,2000,0.03624760013929708
0.5,1500,0.031839239798721775
0.5,1250,0.02943945498930335
0.5,1000,0.026410155330130195
0.5,750,0.0232788114471675
0.5,500,0.019629212576809635
0.5,400,0.01760793030635385
0.5,300,0.016278959331061733
0.5,250,0.014942409848286738
0.5,200,0.013791766900288525
0.5,150,0.01181548947183766
0.5,100,0.01023741436503383
0.5,75,0.010075923851503752
0.5,50,0.008453331789442825
0.5,30,0.006709722130065835
0.5,15,0.005916082178342772
0.5,1,0.0011679575065821344
0.7,3000,0.04104088144005086
0.7,2500,0.03851119949450596
0.7,2000,0.03487705037116256
0.7,1500,0.030176163978519105
0.7,1250,0.027783469789835737
0.7,1000,0.02509837965221698
0.7,750,0.022110149215282954
0.7,500,0.019045179613879925
0.7,400,0.017073358217725855
0.7,300,0.015702981920434997
0.7,250,0.01436441583910232
0.7,200,0.013470986784557451
0.7,150,0.011350273194894926
0.7,100,0.009950764637795047
0.7,75,0.009839602352785052
0.7,50,0.008291743698563184
0.7,30,0.00664017116368145
0.7,15,0.005847387724249011
0.7,1,0.0011679575065821344
0.9,3000,0.040042296528458116
0.9,2500,0.03745294061269035
0.9,2000,0.033834772490820134
0.9,1500,0.029256963661761344
0.9,1250,0.02677386947966987
0.9,1000,0.024285126653231348
0.9,750,0.021194028006000357
0.9,500,0.01846654593095947
0.9,400,0.016690594801165554
0.9,300,0.015423498707425376
0.9,250,0.014096284124425432
0.9,200,0.013162295418244709
0.9,150,0.011268264853549408
0.9,100,0.009763231813858847
0.9,75,0.009715462280282913
0.9,50,0.008220284552898416
0.9,30,0.006527480166861604
0.9,15,0.005821432149264722
0.9,1,0.0011679575065821344
