type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,PureSVDs(cs),0.012382515291660451,0.01238251529166045,0.004994453642836456,332,26480,,26480
1,3,PureSVDs(cs),0.040429658361927495,0.024043960415734242,0.008065441550138523,1084,79352,,25728
1,10,PureSVDs(cs),0.1134566611964792,0.03589012796923434,0.017229225750397533,3042,265078,,23770
1,20,PureSVDs(cs),0.18189616589586752,0.04057276423212278,0.03243662672196631,4877,531363,,21935
1,30,PureSVDs(cs),0.22627927793525288,0.04235733109806977,0.047933640432124065,6067,798293,,20745
2,1,PureSVDs(cs),0.012382515291660451,0.01238251529166045,0.004988989251542324,332,26480,,26480
2,3,PureSVDs(cs),0.03867671192003581,0.02352802227858173,0.008125549854373972,1037,79399,,25775
2,10,PureSVDs(cs),0.11371773832612263,0.03577470050131545,0.017256547706868193,3049,265071,,23763
2,20,PureSVDs(cs),0.18409667313143369,0.040591247281081703,0.03261695163467265,4936,531304,,21876
2,30,PureSVDs(cs),0.228293301506788,0.04236420228123968,0.047895389693065143,6121,798239,,20691
3,1,PureSVDs(cs),0.012047294021110738,0.012047294021110738,0.004923416556012743,323,26488,,26488
3,3,PureSVDs(cs),0.037969490134646226,0.02289483172329765,0.008021726419785468,1018,79415,,25793
3,10,PureSVDs(cs),0.11196896796091156,0.03494027563905599,0.017098080359338373,3002,265108,,23809
3,20,PureSVDs(cs),0.18141807467084406,0.039701375691290994,0.03241476915678978,4864,531356,,21947
3,30,PureSVDs(cs),0.22513147588676288,0.04146899635756488,0.047895389693065143,6036,798294,,20775
4,1,PureSVDs(cs),0.011934954497985976,0.011934954497985976,0.005054561947071906,320,26492,,26492
4,3,PureSVDs(cs),0.03774429359988065,0.022732358645382665,0.008098227897903314,1012,79424,,25800
4,10,PureSVDs(cs),0.11397881545576607,0.03500933306337603,0.017289334054632986,3056,265064,,23756
4,20,PureSVDs(cs),0.18622258690138743,0.03995336746334953,0.03253498576526068,4993,531247,,21819
4,30,PureSVDs(cs),0.23168730419215278,0.04178538704266742,0.04797735556247712,6212,798148,,20600
5,1,PureSVDs(cs),0.012904669550947337,0.012904669550947337,0.0049562029037775335,346,26466,,26466
5,3,PureSVDs(cs),0.037408623004624796,0.023030732507832313,0.0080271908110796,1003,79433,,25809
5,10,PureSVDs(cs),0.11147993435775026,0.03498398016524228,0.017229225750397533,2989,265131,,23823
5,20,PureSVDs(cs),0.18014321945397582,0.039709234886845274,0.03252405698267242,4830,531410,,21982
5,30,PureSVDs(cs),0.22810681784275696,0.04164139125056252,0.04763856330224095,6116,798244,,20696
