col_scaling,rank,PureSVDs(cs)
0.2,3000,0.03448846642938841
0.2,2500,0.034684141074003826
0.2,2000,0.03510294490266144
0.2,1500,0.0358286031603949
0.2,1250,0.03589012796923434
0.2,1000,0.0355753405842918
0.2,750,0.03558803923379486
0.2,500,0.03488823708408223
0.2,400,0.034823811418246746
0.2,300,0.03404547892556993
0.2,250,0.03314972092571675
0.2,200,0.031979609935376005
0.2,150,0.030899543914238825
0.2,100,0.0285850152383794
0.2,75,0.02696118653339301
0.2,50,0.02420719282292458
0.2,30,0.02205958182666373
0.2,15,0.017252136569979325
0.2,1,0.006993107800582065
0.4,3000,0.03366246220005731
0.4,2500,0.034569956830511804
0.4,2000,0.03473246402345313
0.4,1500,0.03518822417822865
0.4,1250,0.035118588810032936
0.4,1000,0.035027700224254006
0.4,750,0.03473246402345313
0.4,500,0.03439535779999005
0.4,400,0.0340604420195648
0.4,300,0.032978955170511186
0.4,250,0.03199398101773904
0.4,200,0.031466779859290674
0.4,150,0.029972557300805842
0.4,100,0.02823936924712697
0.4,75,0.02625925314180573
0.4,50,0.02420210152289072
0.4,30,0.020881079071441596
0.4,15,0.01647581691685078
0.4,1,0.006737003568646117
0.6,3000,0.03316508362756311
0.6,2500,0.033902093708337175
0.6,2000,0.03393332232191698
0.6,1500,0.03429669906154316
0.6,1250,0.03428783368735629
0.6,1000,0.03422413323576981
0.6,750,0.0342877744861931
0.6,500,0.033316327799208595
0.6,400,0.03286234367932861
0.6,300,0.03161726921610556
0.6,250,0.031247469150273863
0.6,200,0.030371040330200407
0.6,150,0.02864362438993201
0.6,100,0.026560957069684504
0.6,75,0.024928914203306268
0.6,50,0.02282092358550661
0.6,30,0.019518593901332974
0.6,15,0.015559723317443739
0.6,1,0.004855635003516549
