type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,PureSVDs,0.025409141826726045,0.02540914182672605,0.061883200680297484,930,35671,,35671
1,3,PureSVDs,0.05773066309663671,0.0392839904192053,0.12626530109876993,2113,107690,,34488
1,10,PureSVDs,0.11805688369170242,0.0492032917827295,0.25659597639845144,4321,361689,,32280
1,20,PureSVDs,0.1703505368705773,0.052763548107238704,0.3691956526603958,6235,725785,,30366
1,30,PureSVDs,0.20849157126854456,0.0542876147797615,0.4486009891167322,7631,1090399,,28970
2,1,PureSVDs,0.02510928961748634,0.02510928961748634,0.061637040407581736,919,35681,,35681
2,3,PureSVDs,0.0560655737704918,0.03822859744990892,0.12656367718691025,2052,107748,,34548
2,10,PureSVDs,0.11734972677595629,0.04840997701448521,0.2583414765140722,4295,361705,,32305
2,20,PureSVDs,0.16836065573770492,0.051887317216521525,0.36982224244549045,6162,725838,,30438
2,30,PureSVDs,0.20773224043715846,0.053469386046369534,0.447452241177392,7603,1090397,,28997
3,1,PureSVDs,0.025108603590065844,0.025108603590065844,0.06173401263622733,919,35682,,35682
3,3,PureSVDs,0.0579492363596623,0.039069970765826065,0.12675762164420143,2121,107682,,34480
3,10,PureSVDs,0.11734652058686922,0.04895476227338745,0.25852796156915986,4295,361715,,32306
3,20,PureSVDs,0.1686839157400071,0.052471226938944154,0.3695686227705712,6174,725846,,30427
3,30,PureSVDs,0.20868282287369197,0.05407232514816708,0.44900379683572156,7638,1090392,,28963
4,1,PureSVDs,0.025628415300546447,0.02562841530054645,0.061554986983343156,938,35662,,35662
4,3,PureSVDs,0.05778688524590164,0.03933060109289617,0.12636227332741554,2115,107685,,34485
4,10,PureSVDs,0.11887978142076502,0.049434751496226906,0.2547609634563886,4351,361649,,32249
4,20,PureSVDs,0.1718032786885246,0.053059872394101315,0.36612983835475427,6288,725712,,30312
4,30,PureSVDs,0.21062841530054643,0.05461573248099691,0.44453561491582066,7709,1090291,,28891
5,1,PureSVDs,0.025737001721264446,0.025737001721264446,0.06243519644335703,942,35659,,35659
5,3,PureSVDs,0.0583317395699571,0.03960274309445097,0.12848820295541516,2135,107668,,34466
5,10,PureSVDs,0.11824813529684981,0.04953386215920026,0.2608329168500436,4328,361682,,32273
5,20,PureSVDs,0.1707057184229939,0.05311835089883837,0.37204514430213564,6248,725772,,30353
5,30,PureSVDs,0.20958443758367257,0.05467422251388739,0.45050313667862657,7671,1090359,,28930
