type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,SGD,0.016174421463894428,0.01617442146389443,0.04040012233419614,592,36009,,36009
1,3,SGD,0.04002622879156307,0.026206023514840214,0.07789107780902438,1465,108338,,35136
1,10,SGD,0.09076254747138056,0.03453283000768042,0.15483481153820333,3322,362688,,33279
1,20,SGD,0.14013278325728806,0.037868477578619955,0.2232673673531803,5129,726891,,31472
1,30,SGD,0.1760061200513647,0.03930869851070168,0.274319516033985,6442,1091588,,30159
2,1,SGD,0.01633879781420765,0.016338797814207648,0.04037028472538211,598,36002,,36002
2,3,SGD,0.038688524590163934,0.025787795992714028,0.07737637905698237,1416,108384,,35184
2,10,SGD,0.09139344262295082,0.03446079451817157,0.15497654018006998,3345,362655,,33255
2,20,SGD,0.13898907103825137,0.03768383414194649,0.22340163659284346,5087,726913,,31513
2,30,SGD,0.17532786885245902,0.039141580706667234,0.2740584369568623,6417,1091583,,30183
3,1,SGD,0.016147099806016228,0.01614709980601623,0.040497094562841736,591,36010,,36010
3,3,SGD,0.03986229884429387,0.026064861615802848,0.07845799237649095,1459,108344,,35142
3,10,SGD,0.09139094560257917,0.034626428369768716,0.1556926427916067,3345,362665,,33256
3,20,SGD,0.13843884046883964,0.037813985873569794,0.22417741442200823,5067,726953,,31534
3,30,SGD,0.17715362968224913,0.039372755619732275,0.27455075750229374,6484,1091546,,30117
4,1,SGD,0.016174863387978144,0.01617486338797814,0.040467256954027704,592,36008,,36008
4,3,SGD,0.038060109289617484,0.02543260473588342,0.07852512699632251,1393,108407,,35207
4,10,SGD,0.09049180327868853,0.03398400771966346,0.1559238842599154,3312,362688,,33288
4,20,SGD,0.13904371584699454,0.0373078099462565,0.22408044219336262,5089,726911,,31511
4,30,SGD,0.17688524590163934,0.03881607858775587,0.2751102126675568,6474,1091526,,30126
5,1,SGD,0.01672085462145843,0.01672085462145843,0.040422500540806656,612,35989,,35989
5,3,SGD,0.039753012212781075,0.02638816790069488,0.07771951155834371,1455,108348,,35146
5,10,SGD,0.09322149668041857,0.03513280060437242,0.1549094055602384,3412,362598,,33189
5,20,SGD,0.14117100625665965,0.03840040721161079,0.22501286746880106,5167,726853,,31434
5,30,SGD,0.1773175596295183,0.03983919696542393,0.27626642000910046,6490,1091540,,30111
