regularization,linear_regularization,rank,adagrad_momentum_weighting,SGD
1e-09,3e-08,100,0.99,1180.714361
1e-07,1e-08,100,0.95,1019.476423
1e-07,3e-09,100,0.9,1193.378107
3e-06,3e-08,100,0.9,1141.391275
1e-06,1e-06,100,0.95,1098.338947
3e-08,1e-08,100,0.9,1061.770297
1e-10,3e-07,100,0.99,1108.590257
1e-10,1e-09,100,0.99,1039.663518
1e-10,1e-06,100,0.95,1143.906546
3e-06,1e-07,100,0.99,1242.615969
3e-09,1e-06,100,0.95,871.763767
1e-06,1e-10,100,0.95,913.540933
1e-07,1e-09,100,0.9,730.364811
3e-10,1e-10,100,0.95,1061.823341
3e-06,3e-09,100,0.95,1213.435673
1e-09,1e-08,100,0.99,1115.308856
3e-07,3e-09,100,0.95,854.369237
3e-09,1e-09,100,0.9,1100.762201
3e-08,3e-08,100,0.95,1051.861639
3e-10,3e-08,100,0.95,1113.420449
1e-06,1e-08,100,0.9,904.383974
1e-07,1e-10,100,0.95,1191.926454
1e-07,1e-07,100,0.99,1181.907953
1e-09,1e-10,100,0.95,1052.10982
3e-08,1e-10,100,0.9,1042.336818
1e-08,3e-08,100,0.9,1126.893056
3e-08,3e-07,100,0.95,1125.246719
3e-07,1e-07,100,0.95,984.718517
1e-10,1e-10,100,0.95,1237.888425
1e-09,3e-09,100,0.95,1147.602731
