regularization,linear_regularization,rank,adagrad_momentum_weighting,SGD
1e-09,3e-08,100,0.99,0.021592826633672513
1e-07,1e-08,100,0.95,0.02247359231662939
1e-07,3e-09,100,0.9,0.021582765324739586
3e-06,3e-08,100,0.9,0.003352855308402971
1e-06,1e-06,100,0.95,0.007816878105941246
3e-08,1e-08,100,0.9,0.02270729006883757
1e-10,3e-07,100,0.99,0.018110681337095914
1e-10,1e-09,100,0.99,0.016657494395807555
1e-10,1e-06,100,0.95,0.019794562816611395
3e-06,1e-07,100,0.99,0.0032357516469972416
3e-09,1e-06,100,0.95,0.022109065022510012
1e-06,1e-10,100,0.95,0.007291521655883285
1e-07,1e-09,100,0.9,0.022198337455434255
3e-10,1e-10,100,0.95,0.016243202653410026
3e-06,3e-09,100,0.95,0.003313097959419098
1e-09,1e-08,100,0.99,0.02177649973133703
3e-07,3e-09,100,0.95,0.017055447353116815
3e-09,1e-09,100,0.9,0.020918274416129666
3e-08,3e-08,100,0.95,0.023932850737446238
3e-10,3e-08,100,0.95,0.02109776252969062
1e-06,1e-08,100,0.9,0.007179708855209525
1e-07,1e-10,100,0.95,0.02257093114378434
1e-07,1e-07,100,0.99,0.023513853598414125
1e-09,1e-10,100,0.95,0.022074837056668153
3e-08,1e-10,100,0.9,0.022568209819924256
1e-08,3e-08,100,0.9,0.020982968198891262
3e-08,3e-07,100,0.95,0.02398908781657887
3e-07,1e-07,100,0.95,0.017377983861140058
1e-10,1e-10,100,0.95,0.015268990395353062
1e-09,3e-09,100,0.95,0.02034397750430099
