alpha,beta,LCE
0.3,0.1,155.140599809587
0.3,0.05,149.62453513592482
0.1,0.0,153.75193425826728
0.5,0.0,155.9560430534184
0.9,0.05,149.3356368560344
0.3,0.3,153.77848548442125
0.7,0.0,155.77012717351317
0.5,0.1,153.65949149616063
0.1,0.3,150.40516875125468
0.7,0.3,153.51055976375937
0.5,0.05,130.52963385730982
0.5,0.3,155.74325560219586
0.9,0.3,151.88825124315917
0.3,0.0,151.6449127998203
0.9,0.1,152.6105024497956
0.9,0.0,153.88120092824101
0.1,0.1,152.97877359949052
0.7,0.1,153.90211804397404
0.7,0.05,143.80964317545295
0.1,0.05,152.9588847067207
