alpha,beta,LCE
0.3,0.1,0.012484739986720807
0.3,0.05,0.012673161848730822
0.1,0.0,0.01265800483376506
0.5,0.0,0.012776442052281511
0.9,0.05,0.004479786960456887
0.3,0.3,0.011073186047913512
0.7,0.0,0.011094837377589213
0.5,0.1,0.01185467219865187
0.1,0.3,0.01130023769842354
0.7,0.3,0.00867767295802049
0.5,0.05,0.012239669052324445
0.5,0.3,0.010707693822226211
0.9,0.3,0.00422737604098769
0.3,0.0,0.012947690300768085
0.9,0.1,0.004366011770864097
0.9,0.0,0.004642957972785027
0.1,0.1,0.012497468409875175
0.7,0.1,0.010351655757518985
0.7,0.05,0.01071085966512321
0.1,0.05,0.012798006646535378
